"client_id","gender","age","membership_duration","visit_count","fitness_category_count","total_visit_cost","fitness_category_crossfit","fitness_category_goboxing","fitness_category_АКАДЕМИЯ_ИЛЬИНА","fitness_category_ВОСТОЧНЫЕ_ЕДИНОБОРСТВА","fitness_category_ГРУППОВЫЕ_ПРОГРАММЫ","fitness_category_ДЕТСКИЙ_КЛУБ","fitness_category_ТРЕНАЖЕРНЫЙ_ЗАЛ","fitness_category_СТУДИЯ_ЙОГИ_ШАКТИ","fitness_category_ВОДНЫЕ_ПРОГРАММЫ"
1,"0","26","1293.7500000000000000","30","2","18235500.00",0,0,0,0,0,0,1,0,1
2,"0","6","1393.7500000000000000","32","2","3542400.00",0,0,0,0,0,1,0,0,1
4,"0","25","656.2500000000000000","60","2","66214500.00",0,1,0,0,0,0,1,0,0
5,"0","34","1627.0000000000000000","12","1","11931600.00",0,0,0,0,0,0,1,0,0
6,"0","17","717.2500000000000000","12","1","11931600.00",0,0,0,0,0,0,1,0,0
7,"1","24","1373.7500000000000000","92","4","31144300.00",0,0,0,0,1,0,1,1,1
8,"0","13","1057.5000000000000000","34","2","3763800.00",0,0,0,0,0,1,0,0,1
9,"0","36","1443.7500000000000000","19","1","18891700.00",0,0,0,0,0,0,1,0,0
10,"0","29","687.2500000000000000","58","2","64007350.00",0,1,0,0,0,0,1,0,0
11,"0","35","1694.0000000000000000","58","2","64007350.00",0,1,0,0,0,0,1,0,0
12,"0","30","372.2500000000000000","18","1","17897400.00",0,0,0,0,0,0,1,0,0
14,"1","20","1075.5000000000000000","48","3","18123200.00",0,0,0,0,1,0,1,1,0
15,"0","25","1927.2500000000000000","15","1","14914500.00",0,0,0,0,0,0,1,0,0
17,"0","24","344.0000000000000000","57","3","30438000.00",1,0,0,0,0,0,1,0,1
18,"1","31","358.0000000000000000","45","3","16990500.00",0,0,0,0,1,0,1,1,0
19,"0","14","1083.5000000000000000","32","2","3542400.00",0,0,0,0,0,1,0,0,1
20,"0","38","323.0000000000000000","50","2","55178750.00",0,1,0,0,0,0,1,0,0
21,"0","11","1246.7500000000000000","0","1","0",0,0,0,0,0,0,0,0,0
22,"0","29","1754.0000000000000000","16","1","15908800.00",0,0,0,0,0,0,1,0,0
23,"1","10","1542.0000000000000000","24","2","2656800.00",0,0,0,0,0,1,0,0,1
24,"0","30","1749.0000000000000000","56","2","38656800.00",1,0,0,0,0,0,1,0,0
25,"0","28","365.2500000000000000","38","2","41935850.00",0,1,0,0,0,0,1,0,0
26,"0","10","1576.0000000000000000","24","2","2656800.00",0,0,0,0,0,1,0,0,1
27,"1","44","365.2500000000000000","66","3","24919400.00",0,0,0,0,1,0,1,1,0
29,"0","9","1595.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0
30,"1","34","365.2500000000000000","63","3","23786700.00",0,0,0,0,1,0,1,1,0
31,"0","19","327.0000000000000000","140","4","89479250.00",0,1,0,1,0,0,1,0,1
32,"0","23","696.2500000000000000","63","3","50999550.00",0,1,0,0,0,0,1,0,1
33,"0","18","790.5000000000000000","102","3","79395100.00",0,1,0,1,0,0,1,0,0
34,"0","34","1000.5000000000000000","14","1","13920200.00",0,0,0,0,0,0,1,0,0
35,"0","10","1780.0000000000000000","20","2","2214000.00",0,0,0,0,0,1,0,0,1
36,"0","25","1607.0000000000000000","90","3","72856500.00",0,1,0,0,0,0,1,0,1
38,"0","34","1260.7500000000000000","81","3","65570850.00",0,1,0,0,0,0,1,0,1
39,"0","7","1674.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0
41,"1","30","10.0000000000000000","66","3","24919400.00",0,0,0,0,1,0,1,1,0
42,"0","58","1763.0000000000000000","36","2","39728700.00",0,1,0,0,0,0,1,0,0
43,"0","21","665.2500000000000000","30","2","18235500.00",0,0,0,0,0,0,1,0,1
44,"1","19","1085.5000000000000000","75","3","60713750.00",0,1,0,0,0,0,1,0,1
45,"1","25","1005.5000000000000000","108","4","46990800.00",1,0,0,0,0,0,1,1,1
46,"0","26","365.2500000000000000","84","4","54462450.00",1,1,0,0,1,0,1,0,0
