"client_id","gender","age","membership_id","membership_duration","visit_count","fitness_category_count","total_visit_cost","fitness_category_crossfit","fitness_category_goboxing","fitness_category_АКАДЕМИЯ_ИЛЬИНА","fitness_category_ВОСТОЧНЫЕ_ЕДИНОБОРСТВА","fitness_category_ГРУППОВЫЕ_ПРОГРАММЫ","fitness_category_ДЕТСКИЙ_КЛУБ","fitness_category_ТРЕНАЖЕРНЫЙ_ЗАЛ","fitness_category_СТУДИЯ_ЙОГИ_ШАКТИ","fitness_category_ВОДНЫЕ_ПРОГРАММЫ","active"
1,"0","26",9,"1293.7500000000000000","30","2","18235500.00",0,0,0,0,0,0,1,0,1,1
2,"0","6",1,"1393.7500000000000000","32","2","3542400.00",0,0,0,0,0,1,0,0,1,1
3,"0","20",9,"177.0000000000000000","0","0","0",0,0,0,0,0,0,0,0,0,0
4,"0","25",4,"656.2500000000000000","60","2","66214500.00",0,1,0,0,0,0,1,0,0,0
5,"0","34",10,"1627.0000000000000000","12","1","11931600.00",0,0,0,0,0,0,1,0,0,1
6,"0","17",3,"717.2500000000000000","12","1","11931600.00",0,0,0,0,0,0,1,0,0,1
7,"1","24",6,"1373.7500000000000000","92","4","31144300.00",0,0,0,0,1,0,1,1,1,1
8,"0","13",1,"1057.5000000000000000","34","2","3763800.00",0,0,0,0,0,1,0,0,1,1
9,"0","36",4,"1443.7500000000000000","19","1","18891700.00",0,0,0,0,0,0,1,0,0,1
10,"0","29",5,"687.2500000000000000","58","2","64007350.00",0,1,0,0,0,0,1,0,0,0
11,"0","35",6,"1694.0000000000000000","58","2","64007350.00",0,1,0,0,0,0,1,0,0,1
12,"0","30",5,"372.2500000000000000","18","1","17897400.00",0,0,0,0,0,0,1,0,0,0
13,"1","29",8,"743.5000000000000000","0","0","0",0,0,0,0,0,0,0,0,0,1
14,"1","20",10,"1075.5000000000000000","48","3","18123200.00",0,0,0,0,1,0,1,1,0,1
15,"0","25",8,"1927.2500000000000000","15","1","14914500.00",0,0,0,0,0,0,1,0,0,1
16,"1","21",3,"37.0000000000000000","0","0","0",0,0,0,0,0,0,0,0,0,0
17,"0","24",4,"344.0000000000000000","57","3","30438000.00",1,0,0,0,0,0,1,0,1,0
18,"1","31",3,"358.0000000000000000","45","3","16990500.00",0,0,0,0,1,0,1,1,0,0
19,"0","14",2,"1083.5000000000000000","32","2","3542400.00",0,0,0,0,0,1,0,0,1,1
20,"0","38",7,"323.0000000000000000","50","2","55178750.00",0,1,0,0,0,0,1,0,0,0
21,"0","11",1,"1246.7500000000000000","0","1","0",0,0,0,0,0,0,0,0,0,1
22,"0","29",7,"1754.0000000000000000","16","1","15908800.00",0,0,0,0,0,0,1,0,0,1
23,"1","10",2,"1542.0000000000000000","24","2","2656800.00",0,0,0,0,0,1,0,0,1,1
24,"0","30",9,"1749.0000000000000000","56","2","38656800.00",1,0,0,0,0,0,1,0,0,1
25,"0","28",9,"365.2500000000000000","38","2","41935850.00",0,1,0,0,0,0,1,0,0,0
26,"0","10",1,"1576.0000000000000000","24","2","2656800.00",0,0,0,0,0,1,0,0,1,1
27,"1","44",7,"365.2500000000000000","66","3","24919400.00",0,0,0,0,1,0,1,1,0,0
28,"0","33",3,"1616.0000000000000000","0","0","0",0,0,0,0,0,0,0,0,0,1
29,"0","9",1,"1595.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0,1
30,"1","34",10,"365.2500000000000000","63","3","23786700.00",0,0,0,0,1,0,1,1,0,0
31,"0","19",8,"327.0000000000000000","140","4","89479250.00",0,1,0,1,0,0,1,0,1,0
32,"0","23",3,"696.2500000000000000","63","3","50999550.00",0,1,0,0,0,0,1,0,1,0
33,"0","18",4,"790.5000000000000000","102","3","79395100.00",0,1,0,1,0,0,1,0,0,1
34,"0","34",7,"1000.5000000000000000","14","1","13920200.00",0,0,0,0,0,0,1,0,0,1
